date,Alachua,Baker,Bay,Bradford,Brevard,Broward,Calhoun,Charlotte,Citrus,Clay,Collier,Columbia,Dade,Desoto,Dixie,Duval,Escambia,Flagler,Franklin,Gadsden,Gilchrist,Glades,Gulf,Hamilton,Hardee,Hendry,Hernando,Highlands,Hillsborough,Holmes,Indian River,Jackson,Jefferson,Lake,Lee,Leon,Levy,Liberty,Madison,Manatee,Marion,Martin,Monroe,Nassau,Okaloosa,Okeechobee,Orange,Osceola,Palm Beach,Pasco,Pinellas,Polk,Putnam,Santa Rosa,Sarasota,Seminole,St. Johns,St. Lucie,Sumter,Suwannee,Taylor,Union,Lafayette,Volusia,Wakulla,Walton,Washington
2018,766,5,300,22,1881,7942,5,398,201,382,1692,52,9559,23,2,2059,450,307,18,25,10,5,10,1,6,32,275,141,4420,8,385,15,25,897,1764,656,23,7,4,1258,550,728,317,195,407,32,5245,678,7943,1223,3508,1009,37,303,1983,1887,1099,601,282,20,1,1,1801,1079,25,211,13
2019,699,12,237,9,1657,6542,5,362,161,297,1395,41,7936,22,3,1733,389,258,18,22,13,4,7,2,4,29,229,110,3849,6,331,15,21,816,1463,569,24,4,2,1116,460,563,284,163,308,21,4830,642,6131,1141,3014,855,42,260,1633,1563,973,523,255,16,6,2,1778,903,21,171,10
2020,2454,41,876,35,6088,23689,11,1314,637,1051,5466,142,29977,70,8,6101,1449,969,59,78,39,21,36,10,30,103,888,347,14000,10,1300,43,60,2823,5628,2135,82,12,22,4133,1670,2114,953,577,1284,74,17617,2579,22458,4299,10590,3217,155,988,5953,5450,3830,2046,859,56,18,12,6221,3371,76,649,25
2021,2774,42,972,39,6843,26767,14,1489,750,1184,6384,180,34827,83,7,6878,1631,1092,63,80,38,24,38,9,29,117,1039,399,16110,10,1461,47,60,3218,6683,2377,106,13,29,4864,1900,2319,1047,657,1448,87,19980,3064,25106,4902,11760,3686,172,1141,6673,6065,4446,2400,952,61,20,16,7489,3796,90,772,30
